,Sex,State,Age Group,Year,Deaths_x,Population,Crude Rate_x,Deaths_y,Crude Rate_y
319,,Colorado,70-74 yrs,1999.0,0,104378,0.0,0,0.0
320,Males,Colorado,75-79 yrs,1999.0,0,35492,0.0,0,0.0
321,Females,Colorado,75-79 yrs,1999.0,0,48990,0.0,0,0.0
322,,Colorado,75-79 yrs,1999.0,0,84482,0.0,0,0.0
323,Males,Colorado,80-84 yrs,1999.0,0,20879,0.0,0,0.0
324,Females,Colorado,80-84 yrs,1999.0,0,33742,0.0,0,0.0
325,,Colorado,80-84 yrs,1999.0,0,54621,0.0,0,0.0
326,Males,Colorado,85+ yrs,1999.0,0,13720,0.0,0,0.0
327,Females,Colorado,85+ yrs,1999.0,0,33532,0.0,0,0.0
328,,Colorado,85+ yrs,1999.0,0,47252,0.0,0,0.0
329,Males,Connecticut,00-04 yrs,1999.0,0,113898,0.0,0,0.0
330,Females,Connecticut,00-04 yrs,1999.0,0,108919,0.0,0,0.0
331,,Connecticut,00-04 yrs,1999.0,0,222817,0.0,0,0.0
332,Males,Connecticut,05-09 yrs,1999.0,0,125644,0.0,0,0.0
333,Females,Connecticut,05-09 yrs,1999.0,0,119741,0.0,0,0.0
334,,Connecticut,05-09 yrs,1999.0,0,245385,0.0,0,0.0
335,Males,Connecticut,10-14 yrs,1999.0,0,120825,0.0,0,0.0
336,Females,Connecticut,10-14 yrs,1999.0,0,115228,0.0,0,0.0
337,,Connecticut,10-14 yrs,1999.0,0,236053,0.0,0,0.0
338,Males,Connecticut,15-19 yrs,1999.0,11,109549,10.04,12,10.95
339,Females,Connecticut,15-19 yrs,1999.0,0,103613,0.0,0,0.0
340,,Connecticut,15-19 yrs,1999.0,S,213162,0.0,S,0.0
341,Males,Connecticut,20-24 yrs,1999.0,19,94211,20.17,19,20.17
342,Females,Connecticut,20-24 yrs,1999.0,0,91683,0.0,0,0.0
343,,Connecticut,20-24 yrs,1999.0,S,185894,0.0,S,0.0
344,Males,Connecticut,25-29 yrs,1999.0,16,103156,15.51,16,15.51
345,Females,Connecticut,25-29 yrs,1999.0,0,104776,0.0,0,0.0
346,,Connecticut,25-29 yrs,1999.0,S,207932,0.0,S,0.0
347,Males,Connecticut,30-34 yrs,1999.0,0,124842,0.0,0,0.0
348,Females,Connecticut,30-34 yrs,1999.0,0,129662,0.0,0,0.0
349,,Connecticut,30-34 yrs,1999.0,0,254504,0.0,10,3.93
350,Males,Connecticut,35-39 yrs,1999.0,0,143763,0.0,0,0.0
351,Females,Connecticut,35-39 yrs,1999.0,0,149312,0.0,0,0.0
352,,Connecticut,35-39 yrs,1999.0,0,293075,0.0,0,0.0
353,Males,Connecticut,40-44 yrs,1999.0,0,140798,0.0,10,7.1
354,Females,Connecticut,40-44 yrs,1999.0,0,145646,0.0,0,0.0
355,,Connecticut,40-44 yrs,1999.0,0,286444,0.0,S,0.0
